id,name,grade,subject,marks
1,Vikram Rao,11,Science,63
2,Ananya Choudhary,9,Computer Science,46
3,Gaurav Malhotra,9,Math,46
4,Aryan Singh,9,Geography,60
5,Anjali Malhotra,10,History,70
6,Aditi Bose,10,Computer Science,89
7,Kabir Joshi,10,Science,78
8,Priya Iyer,12,Math,80
9,Divya Nambiar,11,Math,93
10,Anjali Mehta,12,Math,72
11,Sameer Saxena,11,Geography,59
12,Sneha Shah,10,English,45
13,Nisha Kaur,9,History,70
14,Dhruv Sharma,11,Science,82
15,Divya Desai,11,Computer Science,44
16,Pallavi Sharma,10,Geography,66
17,Ishita Pillai,12,English,63
18,Pooja Thakur,9,Science,39
19,Pooja Reddy,11,Math,62
20,Shreya Saxena,11,Science,98
21,Nikhil Saxena,12,Science,68
22,Ananya Singh,11,Computer Science,89
23,Gaurav Reddy,11,Science,52
24,Sara Kapoor,9,Math,49
25,Rohan Sharma,10,Computer Science,89
26,Pallavi Iyer,12,History,94
27,Vivek Joshi,9,Computer Science,49
28,Anjali Bose,11,Computer Science,78
29,Vikram Verma,12,Science,93
30,Aditi Choudhary,11,Geography,57
31,Sara Kumar,9,Computer Science,73
32,Sara Nambiar,10,Science,82
33,Ishita Bhat,9,Geography,76
34,Amit Rao,9,English,74
35,Siddharth Shah,10,Geography,45
36,Arjun Choudhary,12,Math,51
37,Ananya Krishnan,12,Geography,56
38,Tanya Chauhan,12,Science,60
39,Aditya Reddy,11,History,92
40,Vikram Singh,10,Math,78
41,Rahul Menon,10,Geography,63
42,Aditi Iyer,9,Science,43
43,Meera Kaur,11,Math,100
44,Siddharth Joshi,12,Science,51
45,Shreya Menon,12,Science,95
46,Aarohi Desai,9,Math,90
47,Divya Malhotra,12,History,41
48,Priya Shah,12,Computer Science,78
49,Priya Singh,10,Science,92
50,Ananya Malhotra,10,English,94
51,Siddharth Kaur,9,History,47
52,Karan Sharma,9,Math,65
53,Ishita Malhotra,12,History,62
54,Nikhil Saxena,9,Science,83
55,Aditi Reddy,11,History,71
56,Yuvraj Agarwal,12,Science,59
57,Riya Desai,9,Geography,42
58,Pooja Shah,9,Geography,96
59,Sara Kumar,10,Math,100
60,Arjun Kaur,10,Math,43
61,Siddharth Reddy,9,Geography,66
62,Gaurav Nambiar,9,Geography,45
63,Aarohi Krishnan,11,English,61
64,Pooja Singh,11,History,51
65,Aditya Pillai,11,Math,36
66,Dhruv Nambiar,9,Math,62
67,Sara Joshi,10,English,43
68,Siddharth Patel,11,Science,91
69,Anjali Agarwal,11,Geography,36
70,Rajesh Verma,9,Science,68
71,Vikram Saxena,9,Computer Science,54
72,Yash Verma,10,Computer Science,78
73,Aryan Krishnan,11,Geography,97
74,Tanya Saxena,9,Math,89
75,Yash Shah,9,English,51
76,Tanya Nair,12,Geography,89
77,Rajesh Rao,9,Math,54
78,Anjali Shah,11,Geography,53
79,Yuvraj Kulkarni,9,English,81
80,Meera Saxena,11,Science,66
81,Priya Patel,12,Geography,54
82,Siddharth Kaur,10,Science,87
83,Rahul Nair,11,History,66
84,Yash Nair,9,History,39
85,Neha Singh,10,History,79
86,Aditya Thakur,10,Science,38
87,Kavya Reddy,11,English,43
88,Yash Patel,12,Computer Science,77
89,Rahul Mehta,11,Science,68
90,Meera Mehta,12,English,75
91,Yuvraj Nambiar,9,History,59
92,Tanya Shah,12,Math,60
93,Manav Malhotra,9,Computer Science,77
94,Sameer Gupta,9,Computer Science,73
95,Sara Verma,12,English,86
96,Riya Bhat,10,Science,88
97,Sanya Krishnan,10,Geography,73
98,Nikhil Bhat,9,English,71
99,Aryan Malhotra,11,History,91
100,Simran Krishnan,10,Geography,95
101,Ishita Krishnan,9,English,100
102,Sameer Gupta,9,Science,74
103,Nisha Trivedi,10,Science,38
104,Meera Singh,12,Geography,44
105,Dhruv Malhotra,10,Computer Science,84
106,Amit Reddy,10,Science,35
107,Priya Bose,12,Science,57
108,Vivek Pillai,9,Geography,66
109,Vikram Pillai,10,History,75
110,Simran Nambiar,12,Geography,92
111,Ishita Choudhary,12,History,68
112,Siddharth Thakur,11,Geography,97
113,Siddharth Joshi,12,Math,71
114,Siddharth Joshi,11,English,45
115,Ananya Kulkarni,10,History,54
116,Aryan Iyer,12,History,77
117,Anjali Pillai,12,Math,61
118,Aarohi Reddy,9,Geography,83
119,Neha Rao,11,English,84
120,Aarohi Bhat,10,History,63
121,Yash Malhotra,12,Math,84
122,Kabir Krishnan,12,Computer Science,56
123,Dhruv Kumar,10,Geography,38
124,Nikhil Menon,9,Math,89
125,Ananya Kaur,12,Science,41
126,Tanya Reddy,11,Science,93
127,Pooja Gupta,12,English,88
128,Tanya Thakur,9,History,37
129,Anjali Shah,11,Science,43
130,Meera Bose,9,Science,60
131,Rahul Nambiar,10,Science,51
132,Neha Krishnan,9,Geography,62
133,Dhruv Agarwal,11,English,56
134,Pallavi Nambiar,9,Science,74
135,Priya Menon,9,English,83
136,Nikhil Agarwal,10,Math,66
137,Priya Agarwal,11,Computer Science,50
138,Shreya Trivedi,9,English,89
139,Manav Iyer,11,Math,88
140,Amit Mehta,12,English,93
141,Rohan Malhotra,10,Computer Science,69
142,Sameer Trivedi,12,History,90
143,Gaurav Joshi,11,Science,46
144,Yash Saxena,12,Science,94
145,Shreya Nambiar,12,English,38
146,Amit Kaur,11,Science,97
147,Aryan Patel,11,English,70
148,Pallavi Agarwal,11,Geography,36
149,Vivek Desai,9,Science,87
150,Amit Bhat,10,Computer Science,95
151,Amit Pillai,9,Math,72
152,Nisha Reddy,10,English,82
153,Neha Bhat,11,History,77
154,Divya Agarwal,12,English,74
155,Tanya Singh,9,Computer Science,59
156,Pooja Mehta,10,Science,62
157,Neha Joshi,11,Math,59
158,Riya Singh,11,Science,73
159,Aditi Agarwal,10,English,40
160,Karan Bhat,11,Computer Science,51
161,Amit Mehta,9,Geography,71
162,Neha Kapoor,12,English,58
163,Karan Joshi,12,Math,43
164,Nikhil Kapoor,9,Geography,41
165,Rohan Kulkarni,11,Math,66
166,Vikram Bhat,12,Geography,63
167,Vivek Reddy,12,History,73
168,Gaurav Malhotra,11,Geography,42
169,Sameer Choudhary,9,Science,62
170,Tanya Krishnan,9,Science,65
171,Devansh Bhat,9,Science,35
172,Aarohi Pillai,12,English,39
173,Nisha Verma,11,Computer Science,93
174,Sneha Krishnan,10,English,60
175,Yuvraj Mehta,10,Computer Science,54
176,Yash Thakur,10,Math,42
177,Ishita Trivedi,11,Geography,71
178,Simran Mehta,12,Computer Science,73
179,Nikhil Joshi,12,History,45
180,Pallavi Shah,12,Computer Science,76
181,Pallavi Joshi,9,Math,64
182,Shreya Menon,9,Computer Science,69
183,Shreya Shah,10,History,91
184,Yash Nair,12,Computer Science,97
185,Arjun Kapoor,11,History,77
186,Pooja Krishnan,9,Science,77
187,Aarohi Agarwal,12,English,86
188,Rajesh Shah,12,Math,75
189,Tanya Gupta,9,History,100
190,Aditi Krishnan,12,History,41
191,Kavya Chauhan,11,Geography,98
192,Simran Bose,9,Science,69
193,Rajesh Kulkarni,11,History,97
194,Vikram Rao,10,Computer Science,55
195,Aditya Bhat,9,Geography,87
196,Arjun Singh,9,History,50
